"variable","dimension","loading","sd_erreur","variance_erreur","difficulte","decalage_dimension","seuil_1","seuil_2","seuil_3","seuil_4"
"GCL05","GCL",0.538315912615508,0.795979890819142,0.633583986588454,-0.219163551088423,-0.35,-1.75658423756249,-0.958612441457808,-0.234446235094219,0.688124112552032
"GCL06","GCL",0.578913696249947,0.895151401767124,0.801296032085647,-0.188308302499354,-0.35,-1.77739766188897,-0.85409466153942,-0.197707310179248,0.686911473982036
"COL01","COL",0.522320222691633,0.930462335395293,0.865760157589263,-0.0698999498272315,0.15,-1.20702228185255,-0.354924482642673,0.577586628613062,1.33540944142733
"COL02","COL",0.723466450138949,0.727372988741988,0.529071464751453,-0.22061870326288,0.15,-1.33801962300204,-0.471067633805796,0.403949733637273,1.10353135601617
"COL03","COL",0.698273705085739,0.699584086865718,0.489417894595741,0.202063554897904,0.15,-0.896487094461918,-0.0963917242828757,0.824770620232448,1.4539298009593
"COL04","COL",0.690005794540048,0.721126797932262,0.520023858696037,0.141835125302896,0.15,-0.953446357883513,-0.0927731246221811,0.783201949950308,1.51797206690535
"COL05","COL",0.733667356427759,0.735424854075715,0.540849715992287,0.166911611007526,0.15,-0.871475468156859,0.0416532002389431,0.750356192933396,1.5184031770099
"COL06","COL",0.562475163140334,0.886462580015707,0.785815905768103,0.187202446791343,0.15,-0.82990879046265,-0.00711693579796704,0.668072747229598,1.57477587631438
"NUM01","NUM",0.736698431358673,0.670569739229858,0.449663775170799,-0.264858430740423,0.2,-1.34327697160188,-0.489709437987767,0.243676631781273,1.06954346869607
"NUM02","NUM",0.626974019384943,0.845064634405114,0.714134236322249,0.293463200656697,0.2,-0.620111502613872,0.237950003845617,0.931305516744033,1.75953993177973
"NUM03","NUM",0.555253261793405,0.762119870863929,0.580826697565651,-0.316108866920695,0.2,-1.36459808726795,-0.486195991234854,0.251139227440581,0.99276615860872
"NUM04","NUM",0.709215145464987,0.704127399724629,0.495795395042967,0.218841416621581,0.2,-0.805876236967742,0.0297201604116709,0.763845562469214,1.52971126246266
"NUM05","NUM",0.566133900894783,0.794901189661699,0.631867901325585,0.167729208921082,0.2,-0.867899803980253,0.0972251977073029,0.674161589914002,1.52556122296955
"NUM06","NUM",0.66091221163515,0.763604219466277,0.583091403986702,-0.206544524361379,0.2,-1.29397042558994,-0.378090965677984,0.446143023879267,1.16773253583815
"DEV01","DEV",0.568873027223162,0.754503790806897,0.569275970341978,-0.0202543284278363,0.15,-0.997339811595157,-0.3064522376284,0.594888188643381,1.37656560866162
"DEV02","DEV",0.518732393952087,0.92778009395751,0.860775902743806,-0.23329959041439,0.15,-1.19871310768649,-0.39414273891598,0.367021016729996,1.18519067745656
"DEV03","DEV",0.797900318098255,0.596781347213441,0.35614797638189,0.00618885860312729,0.15,-1.04119174547959,-0.228441467438824,0.612795059732161,1.34451986455824
"DEV04","DEV",0.66774881714955,0.796205543051328,0.63394326678566,0.18802927727811,0.15,-0.814487770898268,-0.0997786486987025,0.824842448579147,1.45387660763226
"DEV05","DEV",0.758413604763337,0.651215633476392,0.424081801284058,-0.295711342175491,0.15,-1.25018859968986,-0.546095127169974,0.23568192392122,1.08485294652637
"DEV06","DEV",0.651824965444394,0.771047025737501,0.594513515898646,-0.288924295525067,0.15,-1.31275061194319,-0.461946325446479,0.306632400886156,1.05622961374465
"REL01","REL",0.698854803363793,0.658828446925821,0.43405492247869,-0.15303471495863,-0.25,-1.60778284610715,-0.662347034900449,0.0269218930276111,0.763259436865337
"REL02","REL",0.643375764531083,0.753267207007754,0.567411485153263,-0.197229237738065,-0.25,-1.55794915438164,-0.878114617406391,-0.101384212705307,0.837890948052518
"REL03","REL",0.718731319555082,0.707283379367105,0.500249778728952,0.0979536471888423,-0.25,-1.41360077704303,-0.427363976463675,0.244495553476736,1.13818024341017
"REL04","REL",0.597290795505978,0.778759706533807,0.606466680520622,0.233336526248604,-0.25,-1.27028630892746,-0.312181861372665,0.325746298674494,1.24817432109267
"REL05","REL",0.751572736632079,0.628814742294234,0.395407980126564,-0.0854292220668867,-0.25,-1.62531497918535,-0.598676470317878,0.0473570378264412,0.841794983833097
"REL06","REL",0.572465607593767,0.760636301103987,0.578567582557154,0.105074095865712,-0.25,-1.44069129526615,-0.419377754395828,0.31491093444638,1.1428213451989
