"variable","libelle","dimension","type","origine","minimum","maximum","modalites_observees","n_manquants","description"
"statut","Statut professionnel",NA,"character","questionnaire_scores.rds",NA,NA,"Contractuel | Maître contractuel ou agréé | Maître délégué | Titulaire",0,"Variable conservée sans transformation ; données simulées."
"formation_continue","Jours de formation continue",NA,"integer","questionnaire_scores.rds",NA,NA,NA,0,"Variable conservée sans transformation ; données simulées."
"equipement_numerique","Niveau d'équipement numérique",NA,"character","questionnaire_scores.rds",NA,NA,"Bon | Faible | Moyen",0,"Variable conservée sans transformation ; données simulées."
"discipline","Discipline enseignée",NA,"character","questionnaire_scores.rds",NA,NA,"Arts plastiques | Éducation musicale | Éducation physique et sportive | Français | Histoire-géographie | Langues vivantes | Mathématiques | Physique-chimie | Polyvalent premier degré | Sciences de la vie et de la Terre | Technologie",0,"Variable conservée sans transformation ; données simulées."
"strate_sondage","Strate opérationnelle",NA,"character","questionnaire_scores.rds",NA,NA,"COL_PRIVE | COL_PUBLIC_HEP | COL_PUBLIC_REP | COL_PUBLIC_REPPLUS | P1_PRIVE | P1_PUBLIC_HEP | P1_PUBLIC_REP | P1_PUBLIC_REPPLUS",0,"Variable conservée sans transformation ; données simulées."
"N_h","Effectif de population dans la strate",NA,"integer","questionnaire_scores.rds",NA,NA,NA,0,"Variable conservée sans transformation ; données simulées."
"n_h","Allocation initiale de la strate",NA,"integer","questionnaire_scores.rds",NA,NA,NA,0,"Variable conservée sans transformation ; données simulées."
"pi_h","Probabilité d'inclusion initiale",NA,"numeric","questionnaire_scores.rds",NA,NA,NA,0,"Variable conservée sans transformation ; données simulées."
"poids_base","Poids de sondage initial",NA,"numeric","questionnaire_scores.rds",NA,NA,NA,0,"Variable conservée sans transformation ; données simulées."
"statut_analyse","Décision d'inclusion analytique",NA,"character","questionnaire_scores.rds",NA,NA,"INCLUS",0,"Variable conservée sans transformation ; données simulées."
"flag_analyse_principale","Inclusion dans l'analyse principale",NA,"logical","questionnaire_scores.rds",NA,NA,"TRUE",0,"Variable conservée sans transformation ; données simulées."
"flag_analyse_sensibilite","Éligibilité à l'analyse de sensibilité stricte",NA,"logical","questionnaire_scores.rds",NA,NA,"FALSE | TRUE",0,"Variable conservée sans transformation ; données simulées."
"flag_straightlining","Signal de réponse uniforme",NA,"logical","questionnaire_scores.rds",NA,NA,"FALSE | TRUE",0,"Variable conservée sans transformation ; données simulées."
"flag_rapide","Signal de réponse rapide",NA,"logical","questionnaire_scores.rds",NA,NA,"FALSE | TRUE",0,"Variable conservée sans transformation ; données simulées."
"flag_tres_rapide","Signal de réponse très rapide",NA,"logical","questionnaire_scores.rds",NA,NA,"FALSE | TRUE",0,"Variable conservée sans transformation ; données simulées."
"flag_doublon","Appartenance à un groupe de doublons",NA,"logical","questionnaire_scores.rds",NA,NA,"FALSE",0,"Variable conservée sans transformation ; données simulées."
"taux_completion_clean","Proportion de réponses valides après nettoyage",NA,"numeric","questionnaire_scores.rds",NA,NA,NA,0,"Variable conservée sans transformation ; données simulées."
"statut_questionnaire","Statut déclaré de collecte",NA,"character","questionnaire_scores.rds",NA,NA,"Abandon | Complet | Partiel",0,"Variable conservée sans transformation ; données simulées."
"duree_secondes","Durée de réponse en secondes",NA,"integer","questionnaire_scores.rds",NA,NA,NA,0,"Variable conservée sans transformation ; données simulées."
"SCORE_EXP","Score de pratique EXP","EXP","numeric","questionnaire_scores.rds",1,5,NA,6,"Moyenne des items EXP01|EXP02|EXP03|EXP04|EXP05|EXP06 ; au moins 4 réponses ; sinon NA. Score du démonstrateur."
"SCORE_DIF","Score de pratique DIF","DIF","numeric","questionnaire_scores.rds",1,5,NA,9,"Moyenne des items DIF01|DIF02|DIF03|DIF04|DIF05|DIF06 ; au moins 4 réponses ; sinon NA. Score du démonstrateur."
"SCORE_EVA","Score de pratique EVA","EVA","numeric","questionnaire_scores.rds",1,5,NA,6,"Moyenne des items EVA01|EVA02|EVA03|EVA04|EVA05|EVA06 ; au moins 4 réponses ; sinon NA. Score du démonstrateur."
"SCORE_GCL","Score de pratique GCL","GCL","numeric","questionnaire_scores.rds",1,5,NA,9,"Moyenne des items GCL01|GCL02|GCL03|GCL04|GCL05|GCL06 ; au moins 4 réponses ; sinon NA. Score du démonstrateur."
"SCORE_COL","Score de pratique COL","COL","numeric","questionnaire_scores.rds",1,5,NA,5,"Moyenne des items COL01|COL02|COL03|COL04|COL05|COL06 ; au moins 4 réponses ; sinon NA. Score du démonstrateur."
"SCORE_NUM","Score de pratique NUM","NUM","numeric","questionnaire_scores.rds",1,5,NA,11,"Moyenne des items NUM01|NUM02|NUM03|NUM04|NUM05|NUM06 ; au moins 4 réponses ; sinon NA. Score du démonstrateur."
"SCORE_DEV","Score de pratique DEV","DEV","numeric","questionnaire_scores.rds",1,5,NA,13,"Moyenne des items DEV01|DEV02|DEV03|DEV04|DEV05|DEV06 ; au moins 4 réponses ; sinon NA. Score du démonstrateur."
"SCORE_REL","Score de pratique REL","REL","numeric","questionnaire_scores.rds",1,5,NA,21,"Moyenne des items REL01|REL02|REL03|REL04|REL05|REL06 ; au moins 4 réponses ; sinon NA. Score du démonstrateur."
"Z_EXP","Score standardisé EXP","EXP","numeric","questionnaire_scores.rds",NA,NA,NA,6,"(SCORE - moyenne non pondérée disponible) / écart-type ; paramètres dans regles_scores_definitifs.csv."
