"parametre","position","valeur","type","source","avertissement"
"dimensions_latentes.correlations_specifiques.COL_DEV",1,"0.45","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"dimensions_latentes.correlations_specifiques.NUM_DEV",1,"0.25","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"dimensions_latentes.correlations_specifiques.REL_GCL",1,"0.3","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"dimensions_latentes.seuil_ecart_descriptif",1,"0.1","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.graine_parametres",1,"20260913","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.graine_erreurs",1,"20260914","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.sortie_traits",1,"data/simulated/traits_latents_contextuels.rds","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.sortie_reponses",1,"data/simulated/reponses_items_principaux.rds","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.loading",1,"0.5","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.loading",2,"0.8","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.multiplicateur_erreur",1,"0.9","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.multiplicateur_erreur",2,"1.1","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.difficulte",1,"-0.35","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.difficulte",2,"0.35","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.seuils_base",1,"-1.2","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.seuils_base",2,"-0.35","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.seuils_base",3,"0.4","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.seuils_base",4,"1.2","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.amplitude_jitter_seuils",1,"0.1","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.decalage_dimension.EXP",1,"-0.25","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.decalage_dimension.DIF",1,"0.05","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.decalage_dimension.EVA",1,"-0.15","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.decalage_dimension.GCL",1,"-0.35","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.decalage_dimension.COL",1,"0.15","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.decalage_dimension.NUM",1,"0.2","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.decalage_dimension.DEV",1,"0.15","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.decalage_dimension.REL",1,"-0.25","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.effets_contextuels.formation.DIF",1,"0.18","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.effets_contextuels.formation.EVA",1,"0.15","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.effets_contextuels.formation.DEV",1,"0.25","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.effets_contextuels.equipement.NUM",1,"0.35","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.effets_contextuels.experience.EXP",1,"0.12","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.effets_contextuels.experience.GCL",1,"0.18","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"simulation_items.effets_contextuels.experience.REL",1,"0.08","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.graine",1,"20260915","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.sortie",1,"data/simulated/reponses_faisabilite_priorite.rds","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.seuils",1,"-1.15","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.seuils",2,"-0.35","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.seuils",3,"0.4","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.seuils",4,"1.2","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.decalages",1,"-0.15","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.decalages",2,"0.1","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.decalages",3,"-0.05","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.decalages",4,"-0.2","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.decalages",5,"0.15","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.decalages",6,"0.1","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.decalages",7,"0.2","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.decalages",8,"-0.15","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.effet_equipement",1,"0.1","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.effet_equipement",2,"0.15","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.effet_equipement",3,"0.15","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.effet_equipement",4,"0.05","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.effet_equipement",5,"0.15","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.effet_equipement",6,"0.45","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.effet_equipement",7,"0.15","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.effet_equipement",8,"0.05","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.effet_effectif",1,"-0.15","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.effet_effectif",2,"-0.35","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.effet_effectif",3,"-0.25","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.effet_effectif",4,"-0.3","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.effet_effectif",5,"-0.1","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.effet_effectif",6,"-0.15","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.effet_effectif",7,"-0.1","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.effet_effectif",8,"-0.2","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.effet_formation",1,"0.1","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.effet_formation",2,"0.2","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.effet_formation",3,"0.15","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.effet_formation",4,"0.1","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.effet_formation",5,"0.15","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.effet_formation",6,"0.15","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.effet_formation",7,"0.25","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.effet_formation",8,"0.1","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.sd_faisabilite_commun",1,"0.3","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.sd_faisabilite_item",1,"0.85","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.lien_preference_pratique",1,"0.35","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"faisabilite_priorite.loading_priorite",1,"0.8","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"controles.graine",1,"20260916","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"controles.sortie",1,"data/simulated/reponses_questionnaire.rds","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"controles.seuils",1,"-0.5","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"controles.seuils",2,"0.35","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"controles.seuils",3,"1.05","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"controles.seuils",4,"1.75","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"controles.loading_difficulte",1,"0.55","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"controles.decalage_ctrl04",1,"0.15","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"controles.probabilite_lecture",1,"0.96","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"controles.probabilite_champ",1,"0.95","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"imperfections.graine",1,"20260917","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"imperfections.sortie",1,"data/simulated/reponses_imparfaites.rds","character","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"imperfections.taux_manquant_aleatoire",1,"0.005","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"imperfections.taux_manquant_fin",1,"0.06","double","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"imperfections.nombre_items_fin",1,"10","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"imperfections.nombre_partiels",1,"40","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"imperfections.nombre_abandons",1,"25","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
"imperfections.nombre_straightlining",1,"30","integer","config/config.yml","Données simulées à des fins de démonstration méthodologique. Les résultats présentés ne constituent pas des résultats officiels de la DEPP et ne décrivent pas la population réelle des enseignants."
