"variable","libelle","bloc","dimension","type","modalites","minimum","maximum","score_associe","item_inverse","obligatoire","description"
"DIF05","Je propose un autre support lorsqu'un élève ne comprend pas le support initial.","PRATIQUES","DIF","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_DIF","FALSE","FALSE","Item proposé de différenciation pédagogique. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"DIF06","Je propose des activités d'approfondissement aux élèves qui maîtrisent déjà l'objectif.","PRATIQUES","DIF","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_DIF","FALSE","FALSE","Item proposé de différenciation pédagogique. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"EVA01","Je recueille des informations sur les acquis des élèves pendant les activités.","PRATIQUES","EVA","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_EVA","FALSE","FALSE","Item proposé de évaluation formative et feedback. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"EVA02","Je précise aux élèves les critères de réussite d'une tâche.","PRATIQUES","EVA","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_EVA","FALSE","FALSE","Item proposé de évaluation formative et feedback. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"EVA03","Je donne aux élèves un retour qui indique comment améliorer leur travail.","PRATIQUES","EVA","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_EVA","FALSE","FALSE","Item proposé de évaluation formative et feedback. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"EVA04","J'ajuste la suite de mon enseignement à partir des erreurs observées.","PRATIQUES","EVA","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_EVA","FALSE","FALSE","Item proposé de évaluation formative et feedback. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"EVA05","Je propose aux élèves de reprendre un travail après un retour sur leurs erreurs.","PRATIQUES","EVA","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_EVA","FALSE","FALSE","Item proposé de évaluation formative et feedback. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"EVA06","J'invite les élèves à apprécier leur travail à partir de critères explicites.","PRATIQUES","EVA","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_EVA","FALSE","FALSE","Item proposé de évaluation formative et feedback. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"GCL01","J'explicite les règles de fonctionnement de la classe.","PRATIQUES","GCL","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_GCL","FALSE","FALSE","Item proposé de gestion de classe. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"GCL02","J'utilise des routines pour démarrer les activités.","PRATIQUES","GCL","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_GCL","FALSE","FALSE","Item proposé de gestion de classe. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"GCL03","J'organise les transitions entre activités pour limiter le temps d'attente.","PRATIQUES","GCL","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_GCL","FALSE","FALSE","Item proposé de gestion de classe. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"GCL04","J'interviens rapidement lorsqu'un comportement perturbe les apprentissages.","PRATIQUES","GCL","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_GCL","FALSE","FALSE","Item proposé de gestion de classe. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"GCL05","Je rappelle calmement le comportement attendu lorsqu'une règle n'est pas respectée.","PRATIQUES","GCL","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_GCL","FALSE","FALSE","Item proposé de gestion de classe. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"GCL06","Je signale aux élèves les comportements qui contribuent au bon fonctionnement du groupe.","PRATIQUES","GCL","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_GCL","FALSE","FALSE","Item proposé de gestion de classe. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"COL01","Je prépare des séances avec des collègues.","PRATIQUES","COL","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_COL","FALSE","FALSE","Item proposé de collaboration professionnelle. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"COL02","J'échange avec des collègues sur les difficultés d'apprentissage des élèves.","PRATIQUES","COL","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_COL","FALSE","FALSE","Item proposé de collaboration professionnelle. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"COL03","Je partage des ressources pédagogiques avec des collègues.","PRATIQUES","COL","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_COL","FALSE","FALSE","Item proposé de collaboration professionnelle. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"COL04","J'analyse des travaux d'élèves avec des collègues.","PRATIQUES","COL","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_COL","FALSE","FALSE","Item proposé de collaboration professionnelle. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"COL05","Je discute avec des collègues des effets d'une pratique que j'ai essayée.","PRATIQUES","COL","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_COL","FALSE","FALSE","Item proposé de collaboration professionnelle. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"COL06","Je participe à l'élaboration de repères pédagogiques communs avec des collègues.","PRATIQUES","COL","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_COL","FALSE","FALSE","Item proposé de collaboration professionnelle. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"NUM01","J'utilise des ressources numériques pour illustrer une notion.","PRATIQUES","NUM","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_NUM","FALSE","FALSE","Item proposé de usage pédagogique du numérique. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"NUM02","Je fais utiliser un outil numérique aux élèves pour s'entraîner.","PRATIQUES","NUM","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_NUM","FALSE","FALSE","Item proposé de usage pédagogique du numérique. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"NUM03","Je propose aux élèves de produire un contenu à l'aide d'un outil numérique.","PRATIQUES","NUM","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_NUM","FALSE","FALSE","Item proposé de usage pédagogique du numérique. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"NUM04","J'utilise un outil numérique pour recueillir les réponses des élèves pendant une activité.","PRATIQUES","NUM","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_NUM","FALSE","FALSE","Item proposé de usage pédagogique du numérique. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"NUM05","Je propose des ressources numériques adaptées aux besoins d'apprentissage des élèves.","PRATIQUES","NUM","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_NUM","FALSE","FALSE","Item proposé de usage pédagogique du numérique. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"NUM06","J'accompagne les élèves dans l'évaluation de la fiabilité d'une information trouvée en ligne.","PRATIQUES","NUM","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_NUM","FALSE","FALSE","Item proposé de usage pédagogique du numérique. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"DEV01","Je consulte des ressources pour faire évoluer mes pratiques d'enseignement.","PRATIQUES","DEV","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_DEV","FALSE","FALSE","Item proposé de développement professionnel. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"DEV02","Je participe à des actions de formation liées à mon activité d'enseignement.","PRATIQUES","DEV","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_DEV","FALSE","FALSE","Item proposé de développement professionnel. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"DEV03","J'expérimente une pratique découverte dans une ressource de développement professionnel.","PRATIQUES","DEV","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_DEV","FALSE","FALSE","Item proposé de développement professionnel. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"DEV04","J'analyse les effets d'un changement apporté à ma manière d'enseigner.","PRATIQUES","DEV","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_DEV","FALSE","FALSE","Item proposé de développement professionnel. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"DEV05","Je sollicite un retour professionnel sur ma pratique auprès d'une personne ressource.","PRATIQUES","DEV","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_DEV","FALSE","FALSE","Item proposé de développement professionnel. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"DEV06","Je définis des objectifs pour développer mes compétences professionnelles.","PRATIQUES","DEV","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_DEV","FALSE","FALSE","Item proposé de développement professionnel. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"REL01","Je prends le temps d'écouter le point de vue d'un élève.","PRATIQUES","REL","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_REL","FALSE","FALSE","Item proposé de relations éducatives. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"REL02","Je manifeste aux élèves que leurs progrès sont reconnus.","PRATIQUES","REL","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_REL","FALSE","FALSE","Item proposé de relations éducatives. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"REL03","Je veille à ce que chaque élève puisse prendre la parole.","PRATIQUES","REL","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_REL","FALSE","FALSE","Item proposé de relations éducatives. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"REL04","Je cherche à comprendre les raisons d'un désengagement observé chez un élève.","PRATIQUES","REL","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_REL","FALSE","FALSE","Item proposé de relations éducatives. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"REL05","J'échange avec les familles au sujet des apprentissages de leur enfant.","PRATIQUES","REL","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_REL","FALSE","FALSE","Item proposé de relations éducatives. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"REL06","J'interviens lorsqu'un élève est mis à l'écart par d'autres élèves.","PRATIQUES","REL","entier_ordinal","1=Jamais | 2=Rarement | 3=Parfois | 4=Souvent | 5=Très souvent","1","5","SCORE_REL","FALSE","FALSE","Item proposé de relations éducatives. Référence : trois derniers mois effectivement enseignés ; pratiques habituelles auprès du niveau de classe principal. Sens direct ; score dimensionnel envisagé, règle de calcul à définir après examen psychométrique. Absence de réponse = NA, jamais 0. Instrument de démonstration non validé."
"FAIS_EXP","Dans vos conditions actuelles d'exercice, dans quelle mesure pouvez-vous mettre en œuvre les pratiques de enseignement explicite ?","FAISABILITE","EXP","entier_ordinal","1=Pas du tout faisable | 2=Peu faisable | 3=Moyennement faisable | 4=Plutôt faisable | 5=Tout à fait faisable","1","5","AUCUN","FALSE","FALSE","Jugement global de faisabilité actuelle pour la dimension présentée. Indicateur distinct de la fréquence des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"FAIS_DIF","Dans vos conditions actuelles d'exercice, dans quelle mesure pouvez-vous mettre en œuvre les pratiques de différenciation pédagogique ?","FAISABILITE","DIF","entier_ordinal","1=Pas du tout faisable | 2=Peu faisable | 3=Moyennement faisable | 4=Plutôt faisable | 5=Tout à fait faisable","1","5","AUCUN","FALSE","FALSE","Jugement global de faisabilité actuelle pour la dimension présentée. Indicateur distinct de la fréquence des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"FAIS_EVA","Dans vos conditions actuelles d'exercice, dans quelle mesure pouvez-vous mettre en œuvre les pratiques de évaluation formative et feedback ?","FAISABILITE","EVA","entier_ordinal","1=Pas du tout faisable | 2=Peu faisable | 3=Moyennement faisable | 4=Plutôt faisable | 5=Tout à fait faisable","1","5","AUCUN","FALSE","FALSE","Jugement global de faisabilité actuelle pour la dimension présentée. Indicateur distinct de la fréquence des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"FAIS_GCL","Dans vos conditions actuelles d'exercice, dans quelle mesure pouvez-vous mettre en œuvre les pratiques de gestion de classe ?","FAISABILITE","GCL","entier_ordinal","1=Pas du tout faisable | 2=Peu faisable | 3=Moyennement faisable | 4=Plutôt faisable | 5=Tout à fait faisable","1","5","AUCUN","FALSE","FALSE","Jugement global de faisabilité actuelle pour la dimension présentée. Indicateur distinct de la fréquence des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"FAIS_COL","Dans vos conditions actuelles d'exercice, dans quelle mesure pouvez-vous mettre en œuvre les pratiques de collaboration professionnelle ?","FAISABILITE","COL","entier_ordinal","1=Pas du tout faisable | 2=Peu faisable | 3=Moyennement faisable | 4=Plutôt faisable | 5=Tout à fait faisable","1","5","AUCUN","FALSE","FALSE","Jugement global de faisabilité actuelle pour la dimension présentée. Indicateur distinct de la fréquence des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"FAIS_NUM","Dans vos conditions actuelles d'exercice, dans quelle mesure pouvez-vous mettre en œuvre les pratiques de usage pédagogique du numérique ?","FAISABILITE","NUM","entier_ordinal","1=Pas du tout faisable | 2=Peu faisable | 3=Moyennement faisable | 4=Plutôt faisable | 5=Tout à fait faisable","1","5","AUCUN","FALSE","FALSE","Jugement global de faisabilité actuelle pour la dimension présentée. Indicateur distinct de la fréquence des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"FAIS_DEV","Dans vos conditions actuelles d'exercice, dans quelle mesure pouvez-vous mettre en œuvre les pratiques de développement professionnel ?","FAISABILITE","DEV","entier_ordinal","1=Pas du tout faisable | 2=Peu faisable | 3=Moyennement faisable | 4=Plutôt faisable | 5=Tout à fait faisable","1","5","AUCUN","FALSE","FALSE","Jugement global de faisabilité actuelle pour la dimension présentée. Indicateur distinct de la fréquence des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"FAIS_REL","Dans vos conditions actuelles d'exercice, dans quelle mesure pouvez-vous mettre en œuvre les pratiques de relations éducatives ?","FAISABILITE","REL","entier_ordinal","1=Pas du tout faisable | 2=Peu faisable | 3=Moyennement faisable | 4=Plutôt faisable | 5=Tout à fait faisable","1","5","AUCUN","FALSE","FALSE","Jugement global de faisabilité actuelle pour la dimension présentée. Indicateur distinct de la fréquence des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
"PRIO_EXP","Quelle priorité accordez-vous au développement de vos pratiques de enseignement explicite au cours des douze prochains mois ?","PRIORITE","EXP","entier_ordinal","1=Pas prioritaire | 2=Peu prioritaire | 3=Moyennement prioritaire | 4=Prioritaire | 5=Très prioritaire","1","5","AUCUN","FALSE","FALSE","Priorité déclarée de développement professionnel pour la dimension présentée. Ne mesure ni la fréquence actuelle ni la qualité des pratiques ; ne pas intégrer au score principal. Absence de réponse = NA. Instrument de démonstration non validé."
